Freq [GHz],Sim re(Z),Sim im(Z),Fit re(Z),Fit im(Z)
70,71.85202118,18.33039203,71.12862305,35.32093888
72,77.59412547,44.94842649,101.6175089,49.52162044
74,126.4114441,61.38597672,130.7557663,44.07572846
76,158.8742886,12.87271346,147.8416417,22.45200472
78,140.2797876,-19.71042657,147.7291129,-6.568233071
80,135.7546625,-40.55384803,131.6702266,-32.74517914
82,92.22249944,-50.3078551,105.8870565,-47.9291568
84,76.76805853,-34.55164285,78.87377753,-48.24895703
86,66.02806275,-17.01316694,58.54683907,-34.59662659
88,58.61180954,-2.583756943,50.10431584,-11.66176827
90,61.23951662,19.08538876,55.02709714,13.88851051
92,72.85805175,26.85359636,71.23327927,35.41147003
94,83.96376807,48.10717806,94.09530004,47.92409338
96,106.5099986,53.41324818,117.8875405,49.05178411
98,143.8169384,50.30042449,137.2355528,39.2126388
100,154.6997011,15.65049365,148.2410813,21.15339983
102,151.8006727,-32.67928779,149.1056036,-0.931537596
104,128.8662659,-43.15402794,140.2225951,-22.43221404
106,113.821151,-45.18269251,123.8238712,-39.27043982
108,95.66639955,-45.11618184,103.3337576,-48.59621297
110,73.61190328,-41.91864058,82.60615824,-49.15132056
112,56.62970869,-19.43500224,65.20288933,-41.29682913
114,65.66568223,-6.914704716,53.83047249,-26.76112869
116,62.49158155,0.535909718,50.00091059,-8.200835214
118,60.83885883,11.37386515,53.93152746,11.32149591
120,59.99735325,26.59491227,64.65784097,28.84688695
122,74.63060919,37.8410652,80.30588652,41.94199077
124,91.95106826,52.73712156,98.45726887,48.98681342
126,112.1279201,48.57853876,116.5398658,49.3097692
128,124.7422275,49.13244117,132.1864235,43.17660093
130,146.2123742,33.54371139,143.5185883,31.65826383
132,166.9010539,12.22582874,149.3316532,16.41408879
134,150.320484,-21.96084631,149.1725214,-0.569348498
136,137.4075743,-26.21613985,143.317967,-17.2450912
138,121.4944558,-38.00447001,132.6709957,-31.74606218
140,107.4768704,-47.69203291,118.5995237,-42.57521482
142,83.81760953,-39.21781654,102.7439138,-48.73186024
144,78.477865,-32.10563611,86.81877472,-49.76986612
146,68.39302352,-24.39405632,72.43072432,-45.79147102
148,65.46624428,-15.0148357,60.92850372,-37.38655755
150,60.11661581,-4.745671025,53.29582446,-25.53114375
