Triplexer_40_60_90_04 De-Embedded Nominal: CA1=14.0 L1=428.0 CB1=80.0 CC1=102.0 CA1_151=8.0 CA2_152=8.0 L2_153=310.0 L3_154=310.0 L1_155=310.0 CB2_156=46.0 CB4_157=46.0 CB3_158=46.0 CB1_159=46.0 CC1_160=62.0 CC2_161=62.0 CA1_162=5.0 CA2_163=5.0 L2_164=180.0 L3_165=180.0 L1_166=180.0 CB2_167=34.0 CB4_168=34.0 CB3_169=34.0 CB1_170=34.0 CC1_171=42.0 CC2_172=42.0 a=25.0
Frequency GHz, DB[S12]
20,-38.4266
24,-32.1571
28,-24.0372
30,-18.7411
32,-12.011
34,-3.72163
36,-0.571213
38,-0.953657
40,-0.363605
42,-0.585559
44,-0.72801
45,-0.544542
46,-1.4802
48,-8.98216
50,-17.4644
52,-27.2782
54,-31.6249
55,-32.0726
56,-33.3195
58,-36.9938
59,-38.6748
60,-39.7314
62,-40.535
64,-42.0174
66,-45.9176
68,-46.4259
70,-43.7143
72,-43.847
74,-44.7743
76,-45.9972
78,-48.3303
80,-52.0127
82,-54.93
84,-53.5193
86,-52.7084
88,-52.9779
90,-53.7221
92,-54.5212
94,-54.5067
96,-53.8823
98,-52.7836
100,-51.53
102,-52.1601
103,-54.7011
104,-53.7675
106,-54.8686
108,-49.6382
110,-48.2349
112,-46.4085
114,-46.3566
116,-43.656
118,-42.4462
120,-41.4934

Triplexer_40_60_90_04 De-Embedded Nominal: CA1=14.0 L1=428.0 CB1=80.0 CC1=102.0 CA1_151=8.0 CA2_152=8.0 L2_153=310.0 L3_154=310.0 L1_155=310.0 CB2_156=46.0 CB4_157=46.0 CB3_158=46.0 CB1_159=46.0 CC1_160=62.0 CC2_161=62.0 CA1_162=5.0 CA2_163=5.0 L2_164=180.0 L3_165=180.0 L1_166=180.0 CB2_167=34.0 CB4_168=34.0 CB3_169=34.0 CB1_170=34.0 CC1_171=42.0 CC2_172=42.0 a=25.0
Frequency GHz, DB[S13]
20,-49.422
24,-46.3226
28,-43.2436
30,-41.8171
32,-40.8653
34,-42.6361
36,-38.9704
38,-36.3197
40,-34.5643
42,-29.5727
44,-26.9935
45,-26.9849
46,-22.179
48,-13.014
50,-7.36092
52,-2.36551
54,-0.437006
55,-0.402046
56,-0.449872
58,-0.359306
59,-0.29285
60,-0.296033
62,-0.514171
64,-0.60894
66,-0.446172
68,-2.11055
70,-6.93946
72,-12.1418
74,-16.7645
76,-21.0477
78,-25.6544
80,-31.5315
82,-36.2446
84,-36.5337
86,-37.2369
88,-38.8729
90,-41.0951
92,-43.2488
94,-44.5169
96,-44.8514
98,-45.3017
100,-45.9325
102,-47.4431
103,-48.4466
104,-50.0959
106,-51.9335
108,-49.6823
110,-48.4995
112,-48.2504
114,-47.9007
116,-48.2241
118,-48.5339
120,-48.8751

Triplexer_40_60_90_04 De-Embedded Nominal: CA1=14.0 L1=428.0 CB1=80.0 CC1=102.0 CA1_151=8.0 CA2_152=8.0 L2_153=310.0 L3_154=310.0 L1_155=310.0 CB2_156=46.0 CB4_157=46.0 CB3_158=46.0 CB1_159=46.0 CC1_160=62.0 CC2_161=62.0 CA1_162=5.0 CA2_163=5.0 L2_164=180.0 L3_165=180.0 L1_166=180.0 CB2_167=34.0 CB4_168=34.0 CB3_169=34.0 CB1_170=34.0 CC1_171=42.0 CC2_172=42.0 a=25.0
Frequency GHz, DB[S14]
20,-53.7842
24,-51.76
28,-50.0592
30,-49.4576
32,-49.4339
34,-52.2111
36,-49.9478
38,-48.7014
40,-48.6837
42,-45.7282
44,-45.5191
45,-46.9906
46,-43.9186
48,-38.57
50,-38.3511
52,-41.4085
54,-40.3562
55,-38.2813
56,-37.1055
58,-36.2717
59,-35.8645
60,-34.8999
62,-31.7742
64,-29.3598
66,-29.4493
68,-26.4494
70,-19.7523
72,-15.7437
74,-12.2933
76,-8.75891
78,-5.18859
80,-2.22532
82,-0.779902
84,-0.470338
86,-0.518234
88,-0.505597
90,-0.357044
92,-0.300521
94,-0.432146
96,-0.693857
98,-0.804736
100,-0.837912
102,-0.550755
103,-0.498369
104,-0.523962
106,-1.55279
108,-4.03159
110,-7.37399
112,-10.4685
114,-13.4288
116,-16.0281
118,-18.2883
120,-20.4332

