Freq [GHz],78 GHz,100 GHz,140 GHz
10,8.59346E-08,1.01336E-07,7.07916E-08
11,1.06868E-07,1.14995E-07,7.95753E-08
12,1.30771E-07,1.46891E-07,1.00808E-07
13,1.58008E-07,1.7631E-07,1.20274E-07
14,1.89075E-07,2.02941E-07,1.37726E-07
15,2.24571E-07,2.34932E-07,1.58619E-07
16,2.65162E-07,2.71799E-07,1.82466E-07
17,3.11581E-07,3.11636E-07,2.07743E-07
18,3.64638E-07,3.54162E-07,2.33958E-07
19,4.25251E-07,3.9907E-07,2.60571E-07
20,4.94476E-07,4.46126E-07,2.87103E-07
21,5.73549E-07,4.9551E-07,3.1341E-07
22,6.6394E-07,5.48006E-07,3.39807E-07
23,7.67399E-07,6.04415E-07,3.667E-07
24,8.86021E-07,6.65109E-07,3.94282E-07
25,1.02232E-06,7.30374E-07,4.22731E-07
26,1.17931E-06,8.00594E-07,4.5228E-07
27,1.36063E-06,8.76008E-07,4.83047E-07
28,1.57061E-06,9.564E-07,5.14841E-07
29,1.81457E-06,1.04085E-06,5.47048E-07
30,2.09885E-06,1.12757E-06,5.78579E-07
31,2.4312E-06,1.21399E-06,6.07934E-07
32,2.82096E-06,1.29605E-06,6.32951E-07
33,3.27958E-06,1.36668E-06,6.50094E-07
34,3.82113E-06,1.41289E-06,6.53363E-07
35,4.46287E-06,1.41018E-06,6.32073E-07
36,5.22607E-06,1.30894E-06,5.65823E-07
37,6.13721E-06,1.00128E-06,4.1325E-07
38,7.22932E-06,2.8906E-07,1.1067E-07
39,8.5437E-06,4.85444E-06,1.44928E-06
40,1.01326E-05,2.29357E-05,1.06992E-05
41,1.20624E-05,1.0978E-05,4.63894E-06
42,1.44174E-05,9.02612E-06,3.57724E-06
43,1.73063E-05,8.6046E-06,3.23986E-06
44,2.08697E-05,8.72192E-06,3.13219E-06
45,2.52907E-05,9.12662E-06,3.12865E-06
46,3.08102E-05,9.73353E-06,3.18373E-06
47,3.77466E-05,1.05128E-05,3.27733E-06
48,4.65265E-05,1.14587E-05,3.39964E-06
49,5.7724E-05,1.25784E-05,3.54539E-06
50,7.21227E-05,1.38876E-05,3.71186E-06
51,9.08013E-05,1.54056E-05,3.89672E-06
52,0.000115264,1.71642E-05,4.10002E-06
53,0.00014763,1.92019E-05,4.3222E-06
54,0.000190934,2.1559E-05,4.56275E-06
55,0.00024958,2.4282E-05,4.82101E-06
56,0.000330062,2.74244E-05,5.09608E-06
57,0.000442122,3.10474E-05,5.38699E-06
58,0.000600671,3.5214E-05,5.69114E-06
59,0.000828991,3.99903E-05,6.00495E-06
60,0.001164331,4.54412E-05,6.32336E-06
61,0.001667791,5.16193E-05,6.63866E-06
62,0.002442623,5.85462E-05,6.93927E-06
63,0.003669028,6.61828E-05,7.2081E-06
64,0.005673208,7.43758E-05,7.42007E-06
65,0.009070486,8.27616E-05,7.53804E-06
66,0.015075911,9.05908E-05,7.50607E-06
67,0.026209343,9.64134E-05,7.23933E-06
68,0.047957496,9.7562E-05,6.61102E-06
69,0.092661795,8.9559E-05,5.45218E-06
70,0.187254387,6.69978E-05,3.6465E-06
71,0.376875666,3.33375E-05,1.61356E-06
72,0.667170408,2.88156E-05,1.2331E-06
73,0.907189576,0.000108422,4.0762E-06
74,0.982427881,0.000233393,7.65535E-06
75,0.978372222,0.00034262,9.73003E-06
76,0.971904166,0.000438496,1.06916E-05
77,0.975721182,0.000563445,1.16864E-05
78,0.977470346,0.000780817,1.36354E-05
79,0.967215208,0.001147211,1.66756E-05
80,0.950244788,0.001665799,1.98983E-05
81,0.9434606,0.002254768,2.18157E-05
82,0.960237327,0.002781181,2.14398E-05
83,0.982911634,0.00344116,2.07392E-05
84,0.912143424,0.006483728,2.98828E-05
85,0.642165028,0.017386796,5.97019E-05
86,0.334271298,0.037509231,9.29896E-05
87,0.151933905,0.064746329,0.000111495
88,0.067836286,0.102162698,0.000116396
89,0.030452693,0.157067164,0.000111159
90,0.013403388,0.239301964,9.67357E-05
91,0.005497629,0.35868121,7.40429E-05
92,0.001996293,0.516516753,4.78806E-05
93,0.000718058,0.691972759,2.95103E-05
94,0.000462667,0.84237336,3.15441E-05
95,0.000511737,0.934406423,5.63106E-05
96,0.000540907,0.970094984,9.3818E-05
97,0.000491744,0.973290768,0.000131705
98,0.000399484,0.966003951,0.000162269
99,0.000301342,0.960221648,0.000182707
100,0.000216929,0.959876751,0.000193549
101,0.000152666,0.964292576,0.000197892
