Frequency GHz, MAG[S12], MAG[S13], MAG[S14],78GHz,100 GHz,140 GHz
10,0.000293146,0.000323071,0.000269969,8.59346E-08,1.04375E-07,7.28833E-08
11,0.000326907,0.000356517,0.000296426,1.06868E-07,1.27104E-07,8.78684E-08
12,0.000361623,0.00039217,0.000324784,1.30771E-07,1.53797E-07,1.05485E-07
13,0.000397502,0.000429668,0.00035472,1.58008E-07,1.84615E-07,1.25826E-07
14,0.000434828,0.000468639,0.000385861,1.89075E-07,2.19623E-07,1.48889E-07
15,0.000473889,0.000508735,0.00041781,2.24571E-07,2.58811E-07,1.74565E-07
16,0.000514939,0.000549685,0.000450172,2.65162E-07,3.02154E-07,2.02655E-07
17,0.000558194,0.00059132,0.000482587,3.11581E-07,3.49659E-07,2.3289E-07
18,0.000603853,0.000633601,0.000514767,3.64638E-07,4.0145E-07,2.64985E-07
19,0.000652113,0.000676608,0.000546533,4.25251E-07,4.57798E-07,2.98698E-07
20,0.00070319,0.000720524,0.000577828,4.94476E-07,5.19155E-07,3.33885E-07
21,0.00075733,0.000765605,0.00060873,5.73549E-07,5.86151E-07,3.70552E-07
22,0.000814825,0.000812145,0.000639431,6.6394E-07,6.5958E-07,4.08872E-07
23,0.000876013,0.000860442,0.000670208,7.67399E-07,7.4036E-07,4.49179E-07
24,0.000941287,0.000910784,0.000701382,8.86021E-07,8.29527E-07,4.91937E-07
25,0.0010111,0.000963432,0.000733271,1.02232E-06,9.28201E-07,5.37686E-07
26,0.00108596,0.00101862,0.000766162,1.17931E-06,1.03759E-06,5.87004E-07
27,0.00116646,0.00107655,0.000800284,1.36063E-06,1.15896E-06,6.40454E-07
28,0.00125324,0.00113743,0.000835797,1.57061E-06,1.29375E-06,6.98557E-07
29,0.00134706,0.00120143,0.000872798,1.81457E-06,1.44343E-06,7.61776E-07
30,0.00144874,0.00126873,0.000911328,2.09885E-06,1.60968E-06,8.30519E-07
31,0.00155922,0.00133954,0.000951383,2.43117E-06,1.79437E-06,9.0513E-07
32,0.00167956,0.00141405,0.000992929,2.82092E-06,1.99954E-06,9.85908E-07
33,0.00181096,0.00149249,0.00103592,3.27958E-06,2.22753E-06,1.07313E-06
34,0.00195477,0.00157512,0.00108028,3.82113E-06,2.481E-06,1.167E-06
35,0.00211255,0.00166222,0.00112598,4.46287E-06,2.76298E-06,1.26783E-06
36,0.00228606,0.00175409,0.00117293,5.22607E-06,3.07683E-06,1.37576E-06
37,0.00247734,0.00185108,0.00122111,6.13721E-06,3.4265E-06,1.49111E-06
38,0.00268874,0.00195357,0.00127047,7.22932E-06,3.81644E-06,1.61409E-06
39,0.00292296,0.00206199,0.00132098,8.5437E-06,4.2518E-06,1.74499E-06
40,0.00318319,0.00217679,0.00137261,1.01327E-05,4.73841E-06,1.88406E-06
41,0.0034731,0.00229849,0.00142535,1.20624E-05,5.28306E-06,2.03162E-06
42,0.00379703,0.00242764,0.00147919,1.44174E-05,5.89344E-06,2.188E-06
43,0.00416009,0.00256486,0.00153414,1.73063E-05,6.57851E-06,2.35359E-06
44,0.00456834,0.00271081,0.00159018,2.08697E-05,7.34849E-06,2.52867E-06
45,0.00502899,0.00286622,0.00164732,2.52907E-05,8.21522E-06,2.71366E-06
46,0.00555069,0.00303189,0.00170557,3.08102E-05,9.19236E-06,2.90897E-06
47,0.00614383,0.00320867,0.00176492,3.77466E-05,1.02956E-05,3.11494E-06
48,0.00682102,0.00339751,0.00182539,4.65263E-05,1.15431E-05,3.33205E-06
49,0.00759763,0.00359941,0.00188695,5.7724E-05,1.29558E-05,3.56058E-06
50,0.0084925,0.00381548,0.00194959,7.21226E-05,1.45579E-05,3.8009E-06
51,0.00952896,0.00404689,0.0020133,9.08011E-05,1.63773E-05,4.05338E-06
52,0.0107361,0.00429489,0.00207801,0.000115264,1.84461E-05,4.31813E-06
53,0.0121503,0.0045608,0.00214367,0.00014763,2.08009E-05,4.59532E-06
54,0.0138178,0.00484601,0.00221014,0.000190932,2.34838E-05,4.88472E-06
55,0.0157981,0.00515191,0.00227728,0.00024958,2.65422E-05,5.186E-06
56,0.0181676,0.0054799,0.00234486,0.000330062,3.00293E-05,5.49837E-06
57,0.0210267,0.00583128,0.00241253,0.000442122,3.40038E-05,5.8203E-06
58,0.0245086,0.00620715,0.00247983,0.000600671,3.85287E-05,6.14956E-06
59,0.0287922,0.00660821,0.0025461,0.000828991,4.36684E-05,6.48263E-06
60,0.0341222,0.00703448,0.00261041,0.001164325,4.94839E-05,6.81424E-06
61,0.0408385,0.00748484,0.00267143,0.001667783,5.60228E-05,7.13654E-06
62,0.0494228,0.00795621,0.00272726,0.002442613,6.33013E-05,7.43795E-06
63,0.0605724,0.00844229,0.00277513,0.003669016,7.12723E-05,7.70135E-06
64,0.0753206,0.00893133,0.00281093,0.005673193,7.97687E-05,7.90133E-06
65,0.0952389,0.00940215,0.00282837,0.009070448,8.84004E-05,7.99968E-06
66,0.122783,0.0098169,0.00281758,0.015075665,9.63715E-05,7.93876E-06
67,0.161892,0.0101071,0.00276239,0.02620902,0.000102153,7.6308E-06
68,0.218991,0.0101467,0.00263532,0.047957058,0.000102956,6.94491E-06
69,0.304404,0.00970188,0.00238911,0.092661795,9.41265E-05,5.70785E-06
70,0.432729,0.00837378,0.00195036,0.187254387,7.01202E-05,3.8039E-06
71,0.613901,0.00589397,0.00129497,0.376874438,3.47389E-05,1.67695E-06
72,0.816804,0.00546709,0.0011298,0.667168774,2.98891E-05,1.27645E-06
73,0.952464,0.010579,0.00204974,0.907187671,0.000111915,4.20143E-06
74,0.991172,0.0154813,0.00280251,0.982421934,0.000239671,7.85406E-06
75,0.989124,0.0187065,0.00315165,0.978366287,0.000349933,9.9329E-06
76,0.98585,0.0211036,0.00329489,0.971900223,0.000445362,1.08563E-05
77,0.987785,0.0238548,0.00343502,0.975719206,0.000569051,1.17994E-05
78,0.988671,0.0280044,0.00369945,0.977470346,0.000784246,1.36859E-05
79,0.983473,0.0338574,0.00407872,0.967219142,0.001146324,1.6636E-05
80,0.974811,0.0407066,0.00444189,0.950256486,0.001657027,1.97304E-05
81,0.97133,0.0472762,0.00463714,0.943481969,0.002235039,2.15031E-05
82,0.979933,0.0524498,0.00458402,0.960268684,0.002750982,2.10132E-05
83,0.991446,0.0583336,0.00449693,0.982965171,0.003402809,2.02224E-05
84,0.955122,0.0801549,0.00538612,0.912258035,0.006424808,2.90103E-05
85,0.801439,0.131582,0.00759979,0.642304471,0.017313823,5.77568E-05
86,0.578171,0.194046,0.00947203,0.334281705,0.03765385,8.97194E-05
87,0.389625,0.25639,0.0103609,0.151807641,0.065735832,0.000107348
88,0.260067,0.324413,0.0105758,0.067634844,0.105243795,0.000111848
89,0.173854,0.405671,0.0103207,0.030225213,0.16456896,0.000106517
90,0.114855,0.50502,0.00960367,0.013191671,0.2550452,9.22305E-05
91,0.0731461,0.622204,0.00837641,0.005350352,0.387137818,7.01642E-05
92,0.04422,0.747401,0.00678119,0.001955408,0.558608255,4.59845E-05
93,0.0278445,0.859796,0.00561408,0.000775316,0.739249162,3.15179E-05
94,0.0233508,0.938517,0.00609648,0.00054526,0.880814159,3.71671E-05
95,0.0234594,0.978942,0.0078304,0.000550343,0.958327439,6.13152E-05
96,0.0228723,0.99262,0.00965505,0.000523142,0.985294464,9.322E-05
97,0.0210053,0.994082,0.0111104,0.000441223,0.988199023,0.000123441
98,0.0185089,0.992715,0.01217,0.000342579,0.985483071,0.000148109
99,0.0159724,0.992355,0.0129661,0.000255118,0.984768446,0.00016812
100,0.0137552,0.993407,0.0137051,0.000189206,0.986857468,0.00018783
101,0.0120239,0.994795,0.0146297,0.000144574,0.989617092,0.000214028
102,0.0107818,0.995314,0.0159505,0.000116247,0.990649959,0.000254418
103,0.00990378,0.994468,0.0177491,9.80849E-05,0.988966603,0.000315031
104,0.00920478,0.992741,0.0199226,8.4728E-05,0.985534693,0.00039691
105,0.00851414,0.99127,0.0221989,7.24906E-05,0.982616213,0.000492791
106,0.00771278,0.990992,0.0241762,5.9487E-05,0.982065144,0.000584489
107,0.00673661,0.991306,0.0253483,4.53819E-05,0.982687586,0.000642536
108,0.00558486,0.988226,0.0252001,3.11907E-05,0.976590627,0.000635045
109,0.00439051,0.972505,0.0237436,1.92766E-05,0.945765975,0.000563759
110,0.00359475,0.930333,0.0232973,1.29222E-05,0.865519491,0.000542764
