Frequency GHz, MAG[S12], MAG[S13],30 GHz,40 GHz
10,0.0127779,0.00957388,0.000163275,9.16592E-05
11,0.0159309,0.0110572,0.000253794,0.000122262
12,0.0199441,0.0127067,0.000397767,0.00016146
13,0.0252026,0.0145571,0.000635171,0.000211909
14,0.0322946,0.0166482,0.001042941,0.000277163
15,0.0421616,0.019019,0.001777601,0.000361722
16,0.0563805,0.0216991,0.003178761,0.000470851
17,0.0777337,0.0246879,0.006042528,0.000609492
18,0.111436,0.0279015,0.012417982,0.000778494
19,0.167934,0.0310237,0.028201828,0.00096247
20,0.269359,0.0330599,0.072554271,0.001092957
21,0.459909,0.031075,0.211516288,0.000965656
22,0.766999,0.0218682,0.588287466,0.000478218
23,0.979984,0.0349419,0.96036864,0.001220936
24,0.989068,0.0567731,0.978255509,0.003223185
25,0.980156,0.0719835,0.960705784,0.005181624
26,0.987427,0.0941708,0.97501208,0.00886814
27,0.980377,0.138077,0.961139062,0.019065258
28,0.95792,0.193974,0.917610726,0.037625913
29,0.947543,0.237714,0.897837737,0.056507946
30,0.817339,0.533061,0.668043041,0.28415403
31,0.311303,0.934629,0.096909558,0.873531368
32,0.125137,0.977659,0.015659269,0.95581712
33,0.0861614,0.966153,0.007423787,0.933451619
34,0.0632268,0.958467,0.003997628,0.91865899
35,0.0450585,0.963655,0.002030268,0.928630959
36,0.031313,0.978247,0.000980504,0.956967193
37,0.0214963,0.993005,0.000462091,0.98605893
38,0.0150823,0.998019,0.000227476,0.996041924
39,0.0114295,0.988959,0.000130633,0.978039904
40,0.00953123,0.970469,9.08443E-05,0.94181008
41,0.0083628,0.953152,6.99364E-05,0.908498735
42,0.00733791,0.947751,5.38449E-05,0.898231958
43,0.00622829,0.960653,3.87916E-05,0.922854186
44,0.00492902,0.987379,2.42952E-05,0.97491729
45,0.00342815,0.995898,1.17522E-05,0.991812826
46,0.00226706,0.919854,5.13956E-06,0.846131381
47,0.00237864,0.743501,5.65793E-06,0.552793737
48,0.00281997,0.550943,7.95223E-06,0.303538189
49,0.00297754,0.401114,8.86574E-06,0.160892441
50,0.00293088,0.296841,8.59006E-06,0.088114579
51,0.00279087,0.225317,7.78896E-06,0.05076775
52,0.00261701,0.175386,6.84874E-06,0.030760249
53,0.00243719,0.139628,5.9399E-06,0.019495978
54,0.0022639,0.113356,5.12524E-06,0.012849583
55,0.00210234,0.0935992,4.41983E-06,0.00876081
56,0.00195426,0.0784314,3.81913E-06,0.006151485
57,0.00181976,0.0665743,3.31153E-06,0.004432137
58,0.00169819,0.057157,2.88385E-06,0.003266923
59,0.00158856,0.0495722,2.52352E-06,0.002457403
60,0.0014898,0.0433874,2.2195E-06,0.001882466
61,0.00140085,0.0382883,1.96238E-06,0.001465994
62,0.0013207,0.0340427,1.74425E-06,0.001158905
63,0.00124845,0.0304764,1.55863E-06,0.000928811
64,0.00118326,0.0274567,1.4001E-06,0.00075387
65,0.0011244,0.0248815,1.26428E-06,0.000619089
66,0.00107123,0.0226707,1.14753E-06,0.000513961
67,0.00102316,0.0207616,1.04686E-06,0.000431044
68,0.000979694,0.019104,9.598E-07,0.000364963
69,0.000940383,0.0176577,8.8432E-07,0.000311794
